연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2017,12,읍면동,경기도 고양시 일산동구 장항1동,3077,153,158,332,338,440,752,538,265,78,19,4,1731,79,74,186,183,286,441,293,153,30,5,1,1346,74,84,146,155,154,311,245,112,48,14,3
2017,12,읍면동,경기도 고양시 일산동구 장항2동,27093,1571,2001,4563,5268,5512,4331,1900,1200,657,88,2,13197,780,1047,2188,2515,2673,2217,972,501,266,37,1,13896,791,954,2375,2753,2839,2114,928,699,391,51,1
2017,12,읍면동,경기도 고양시 일산동구 정발산동,26514,1863,2950,4390,3446,4692,4731,2376,1358,614,89,5,12807,938,1535,2217,1715,2150,2284,1138,589,213,25,3,13707,925,1415,2173,1731,2542,2447,1238,769,401,64,2
2017,12,읍면동,경기도 고양시 일산동구 중산동,44103,3125,5209,6807,4862,7890,8447,3907,2387,1271,191,7,21488,1648,2724,3548,2371,3646,4125,1945,976,454,48,3,22615,1477,2485,3259,2491,4244,4322,1962,1411,817,143,4
2017,12,읍면동,경기도 고양시 일산동구 풍산동,39911,3842,5175,5379,5251,7770,6483,3152,1899,854,101,5,19312,1988,2655,2706,2471,3679,3182,1521,789,299,21,1,20599,1854,2520,2673,2780,4091,3301,1631,1110,555,80,4
2017,12,구,경기도 고양시 일산서구 ,299626,25982,38745,42334,36982,58135,51066,22994,14993,7488,865,42,145665,13295,19947,21552,17492,27216,25653,11460,6077,2723,238,12,153961,12687,18798,20782,19490,30919,25413,11534,8916,4765,627,30
2017,12,읍면동,경기도 고양시 일산서구 대화동,32409,2048,3380,5921,4524,5535,5799,2704,1622,773,99,4,15621,1061,1784,2862,2269,2562,2797,1298,683,274,30,1,16788,987,1596,3059,2255,2973,3002,1406,939,499,69,3
2017,12,읍면동,경기도 고양시 일산서구 송산동,49814,5240,6752,6072,6330,10301,7912,3888,2258,926,128,7,24633,2665,3405,3189,2921,5053,4090,1976,957,343,30,4,25181,2575,3347,2883,3409,5248,3822,1912,1301,583,98,3
2017,12,읍면동,경기도 고양시 일산서구 송포동,18028,1515,2484,2400,1929,3543,3146,1540,1003,431,37,0,8960,777,1300,1296,885,1630,1651,780,457,176,8,0,9068,738,1184,1104,1044,1913,1495,760,546,255,29,0
2017,12,읍면동,경기도 고양시 일산서구 일산1동,29788,2702,3482,4234,3883,5428,5108,2506,1681,674,80,10,14522,1358,1764,2164,1891,2568,2535,1241,713,269,18,1,15266,1344,1718,2070,1992,2860,2573,1265,968,405,62,9
